Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2021-04-08T01:12:00+00:00,51.535172,-0.097891,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:12:00+00:00
Person search,2021-04-08T01:13:00+00:00,51.508814,0.068998,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:13:00+00:00
Person search,2021-04-08T01:15:00+00:00,51.459766,-0.116056,Female,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:15:00+00:00
Person search,2021-04-08T01:18:00+00:00,51.508814,0.068998,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:18:00+00:00
Person search,2021-04-08T01:19:00+00:00,51.459766,-0.116056,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:19:00+00:00
Person search,2021-04-08T01:20:00+00:00,51.497579,-0.130576,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 01:20:00+00:00
Person search,2021-04-08T01:20:00+00:00,51.459766,-0.116056,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:20:00+00:00
Person search,2021-04-08T01:20:00+00:00,51.387529,-0.180395,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2021-04-08 01:20:00+00:00
Vehicle search,2021-04-08T01:22:00+00:00,51.508814,0.068998,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:22:00+00:00
Person search,2021-04-08T01:25:00+00:00,51.459766,-0.116056,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:25:00+00:00
Person search,2021-04-08T01:30:00+00:00,51.446984,-0.121447,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:30:00+00:00
Person search,2021-04-08T01:35:00+00:00,51.578982,-0.011543,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,2021-04-08 01:35:00+00:00
Person and Vehicle search,2021-04-08T01:38:00+00:00,51.591521,-0.022877,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2021-04-08 01:38:00+00:00
Person search,2021-04-08T01:42:00+00:00,51.551673,0.025707,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2021-04-08 01:42:00+00:00
Person search,2021-04-08T01:45:00+00:00,51.33011,-0.10326,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:45:00+00:00
Person search,2021-04-08T01:50:00+00:00,51.33011,-0.10326,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:50:00+00:00
Person search,2021-04-08T01:55:00+00:00,51.536629,0.034527,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 01:55:00+00:00
Person search,2021-04-08T02:03:00+00:00,51.530172,0.037642,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 02:03:00+00:00
Person and Vehicle search,2021-04-08T02:15:00+00:00,51.589477,-0.022229,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 02:15:00+00:00
Person search,2021-04-08T02:16:00+00:00,51.522374,0.026266,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 02:16:00+00:00
Person and Vehicle search,2021-04-08T02:20:00+00:00,51.522374,0.026266,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 02:20:00+00:00
Person search,2021-04-08T02:21:00+00:00,51.530172,0.037642,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 02:21:00+00:00
Person and Vehicle search,2021-04-08T02:21:00+00:00,51.589477,-0.022229,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 02:21:00+00:00
Person search,2021-04-08T02:31:00+00:00,51.428541,-0.01296,Male,10-17,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 02:31:00+00:00
Person search,2021-04-08T02:45:00+00:00,51.428788,-0.349308,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,A no further action disposal,,,2021-04-08 02:45:00+00:00
Person search,2021-04-08T02:50:00+00:00,51.514721,-0.173544,Male,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2021-04-08 02:50:00+00:00
Person search,2021-04-08T03:00:00+00:00,51.388221,-0.127879,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2021-04-08 03:00:00+00:00
Vehicle search,2021-04-08T03:30:00+00:00,51.431259,-0.106512,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 03:30:00+00:00
Person and Vehicle search,2021-04-08T03:37:00+00:00,51.589477,-0.022229,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 03:37:00+00:00
Vehicle search,2021-04-08T03:45:00+00:00,51.431259,-0.106512,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 03:45:00+00:00
Vehicle search,2021-04-08T03:50:00+00:00,51.431259,-0.106512,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 03:50:00+00:00
Person search,2021-04-08T04:00:00+00:00,51.528493,-0.091394,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2021-04-08 04:00:00+00:00
Person search,2021-04-08T04:22:00+00:00,51.557458,0.069835,Male,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 04:22:00+00:00
Person search,2021-04-08T04:57:00+00:00,51.493222,-0.211599,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2021-04-08 04:57:00+00:00
Person search,2021-04-08T06:35:00+00:00,51.558107,0.239697,Male,25-34,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Arrest,,,2021-04-08 06:35:00+00:00
Person and Vehicle search,2021-04-08T06:41:00+00:00,51.509035,-0.123276,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 06:41:00+00:00
Person search,2021-04-08T06:48:00+00:00,51.525203,-0.05206,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 06:48:00+00:00
Person search,2021-04-08T07:10:00+00:00,51.349882,-0.14577,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 07:10:00+00:00
Person search,2021-04-08T08:00:00+00:00,51.492457,-0.210995,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest,,,2021-04-08 08:00:00+00:00
Person search,2021-04-08T08:10:00+00:00,51.577212,-0.000507,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 08:10:00+00:00
Person search,2021-04-08T08:10:00+00:00,51.527578,0.050761,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 08:10:00+00:00
Person search,2021-04-08T08:18:00+00:00,51.473507,-0.127845,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,,,2021-04-08 08:18:00+00:00
Person search,2021-04-08T08:35:00+00:00,51.607261,0.213202,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2021-04-08 08:35:00+00:00
Person and Vehicle search,2021-04-08T08:35:00+00:00,51.372334,-0.166745,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 08:35:00+00:00
Person and Vehicle search,2021-04-08T08:40:00+00:00,51.626867,-0.055525,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 08:40:00+00:00
Person and Vehicle search,2021-04-08T08:40:00+00:00,51.385979,-0.21173,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 08:40:00+00:00
Person search,2021-04-08T08:42:00+00:00,51.626867,-0.055525,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 08:42:00+00:00
Person search,2021-04-08T08:45:00+00:00,51.606872,0.21857,Male,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,,,2021-04-08 08:45:00+00:00
Person and Vehicle search,2021-04-08T08:45:00+00:00,51.369099,-0.274652,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,,,2021-04-08 08:45:00+00:00
Person search,2021-04-08T09:00:00+00:00,51.528664,-0.133296,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,,,2021-04-08 09:00:00+00:00
Person search,2021-04-08T09:00:00+00:00,51.469887,-0.09793,Female,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,,,2021-04-08 09:00:00+00:00
