Type,Date,Latitude,Longitude,Gender,Age range,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing,datetime
Person search,2025-01-29T21:18:55+00:00,51.513188,-0.091947,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Community resolution,True,False,2025-01-29 21:18:55+00:00
Person search,2025-01-29T21:21:43+00:00,51.513188,-0.091947,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2025-01-29 21:21:43+00:00
Person search,2025-01-29T22:03:53+00:00,51.517296,-0.081902,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-29 22:03:53+00:00
Person search,2025-01-30T08:46:14+00:00,51.512882,-0.084754,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-30 08:46:14+00:00
Person search,2025-01-30T17:46:36+00:00,51.518907,-0.077597,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,False,2025-01-30 17:46:36+00:00
Person search,2025-01-30T19:14:18+00:00,51.517007,-0.086815,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,False,2025-01-30 19:14:18+00:00
Person search,2025-01-30T21:46:56+00:00,51.510084,-0.073717,Female,25-34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,False,False,2025-01-30 21:46:56+00:00
Person search,2025-01-31T02:32:01+00:00,51.512549,-0.095764,Male,25-34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-31 02:32:01+00:00
Person and Vehicle search,2025-01-31T03:47:26+00:00,51.512549,-0.095764,Male,25-34,Misuse of Drugs Act 1971 (section 23),Evidence of offences under the Act,Arrest,True,False,2025-01-31 03:47:26+00:00
Person search,2025-01-31T05:09:44+00:00,51.517296,-0.081902,Male,10-17,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,False,False,2025-01-31 05:09:44+00:00
Person and Vehicle search,2025-01-31T11:28:02+00:00,51.513666,-0.078278,Male,over 34,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,False,2025-01-31 11:28:02+00:00
Person search,2025-01-31T13:26:41+00:00,51.512105,-0.085089,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2025-01-31 13:26:41+00:00
Person search,2025-01-31T13:40:18+00:00,51.512105,-0.085089,Female,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,False,2025-01-31 13:40:18+00:00
Person search,2025-01-31T16:01:47+00:00,51.512658,-0.092531,Male,over 34,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,False,2025-01-31 16:01:47+00:00
Person search,2025-01-31T22:29:53+00:00,51.517326,-0.079883,Male,18-24,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,False,2025-01-31 22:29:53+00:00
